name,type,rule_str,r1,r2,r3,support,body,confidence,example_1,example_2,example_3,counter_1,counter_2
motherOf -> daughterOf [female child],inverse,"motherOf(X,Y) -> daughterOf(Y,X)",motherOf,daughterOf,,224,733,0.30559345156889495,olivia0-[motherOf]->lisa5 => lisa5-[daughterOf]->olivia0,katharina1-[motherOf]->selina10 => selina10-[daughterOf]->katharina1,katharina1-[motherOf]->isabella11 => isabella11-[daughterOf]->katharina1,olivia0-[motherOf]->elias6 but NO elias6-[daughterOf]->olivia0,katharina1-[motherOf]->oskar24 but NO oskar24-[daughterOf]->katharina1
motherOf -> sonOf [male child],inverse,"motherOf(X,Y) -> sonOf(Y,X)",motherOf,sonOf,,220,733,0.30013642564802184,olivia0-[motherOf]->elias6 => elias6-[sonOf]->olivia0,katharina1-[motherOf]->oskar24 => oskar24-[sonOf]->katharina1,katharina1-[motherOf]->adam9 => adam9-[sonOf]->katharina1,olivia0-[motherOf]->lisa5 but NO lisa5-[sonOf]->olivia0,katharina1-[motherOf]->selina10 but NO selina10-[sonOf]->katharina1
fatherOf -> daughterOf [female child],inverse,"fatherOf(X,Y) -> daughterOf(Y,X)",fatherOf,daughterOf,,316,733,0.4311050477489768,leon16-[fatherOf]->lena18 => lena18-[daughterOf]->leon16,dominik2-[fatherOf]->selina10 => selina10-[daughterOf]->dominik2,dominik2-[fatherOf]->isabella11 => isabella11-[daughterOf]->dominik2,luis14-[fatherOf]->leon16 but NO leon16-[daughterOf]->luis14,dominik2-[fatherOf]->oskar24 but NO oskar24-[daughterOf]->dominik2
fatherOf -> sonOf [male child],inverse,"fatherOf(X,Y) -> sonOf(Y,X)",fatherOf,sonOf,,292,733,0.39836289222373805,luis14-[fatherOf]->leon16 => leon16-[sonOf]->luis14,dominik2-[fatherOf]->oskar24 => oskar24-[sonOf]->dominik2,dominik2-[fatherOf]->adam9 => adam9-[sonOf]->dominik2,leon16-[fatherOf]->lena18 but NO lena18-[sonOf]->leon16,dominik2-[fatherOf]->selina10 but NO selina10-[sonOf]->dominik2
sisterOf symmetric [Y female],inverse,"sisterOf(X,Y) -> sisterOf(Y,X)",sisterOf,sisterOf,,328,636,0.5157232704402516,olivia0-[sisterOf]->selina10 => selina10-[sisterOf]->olivia0,olivia0-[sisterOf]->isabella11 => isabella11-[sisterOf]->olivia0,katharina1-[sisterOf]->paula12 => paula12-[sisterOf]->katharina1,olivia0-[sisterOf]->oskar24 but NO oskar24-[sisterOf]->olivia0,olivia0-[sisterOf]->adam9 but NO adam9-[sisterOf]->olivia0
sisterOf -> brotherOf [Y male],inverse,"sisterOf(X,Y) -> brotherOf(Y,X)",sisterOf,brotherOf,,308,636,0.48427672955974843,olivia0-[sisterOf]->oskar24 => oskar24-[brotherOf]->olivia0,olivia0-[sisterOf]->adam9 => adam9-[brotherOf]->olivia0,katharina1-[sisterOf]->luis14 => luis14-[brotherOf]->katharina1,olivia0-[sisterOf]->selina10 but NO selina10-[brotherOf]->olivia0,olivia0-[sisterOf]->isabella11 but NO isabella11-[brotherOf]->olivia0
brotherOf symmetric [Y male],inverse,"brotherOf(X,Y) -> brotherOf(Y,X)",brotherOf,brotherOf,,262,570,0.45964912280701753,oskar24-[brotherOf]->adam9 => adam9-[brotherOf]->oskar24,nico4-[brotherOf]->elias6 => elias6-[brotherOf]->nico4,elias6-[brotherOf]->nico4 => nico4-[brotherOf]->elias6,luis14-[brotherOf]->katharina1 but NO katharina1-[brotherOf]->luis14,luis14-[brotherOf]->paula12 but NO paula12-[brotherOf]->luis14
brotherOf -> sisterOf [Y female],inverse,"brotherOf(X,Y) -> sisterOf(Y,X)",brotherOf,sisterOf,,308,570,0.5403508771929825,luis14-[brotherOf]->katharina1 => katharina1-[sisterOf]->luis14,luis14-[brotherOf]->paula12 => paula12-[sisterOf]->luis14,luis14-[brotherOf]->natalie13 => natalie13-[sisterOf]->luis14,oskar24-[brotherOf]->adam9 but NO adam9-[sisterOf]->oskar24,nico4-[brotherOf]->elias6 but NO elias6-[sisterOf]->nico4
auntOf -> nieceOf [Y female],inverse,"auntOf(X,Y) -> nieceOf(Y,X)",auntOf,nieceOf,,258,556,0.46402877697841727,katharina1-[auntOf]->johanna22 => johanna22-[nieceOf]->katharina1,selina10-[auntOf]->lisa5 => lisa5-[nieceOf]->selina10,isabella11-[auntOf]->lisa5 => lisa5-[nieceOf]->isabella11,katharina1-[auntOf]->leon16 but NO leon16-[nieceOf]->katharina1,katharina1-[auntOf]->jonas23 but NO jonas23-[nieceOf]->katharina1
auntOf -> nephewOf [Y male],inverse,"auntOf(X,Y) -> nephewOf(Y,X)",auntOf,nephewOf,,298,556,0.5359712230215827,katharina1-[auntOf]->leon16 => leon16-[nephewOf]->katharina1,katharina1-[auntOf]->jonas23 => jonas23-[nephewOf]->katharina1,selina10-[auntOf]->elias6 => elias6-[nephewOf]->selina10,katharina1-[auntOf]->johanna22 but NO johanna22-[nephewOf]->katharina1,selina10-[auntOf]->lisa5 but NO lisa5-[nephewOf]->selina10
uncleOf -> nieceOf [Y female],inverse,"uncleOf(X,Y) -> nieceOf(Y,X)",uncleOf,nieceOf,,238,454,0.5242290748898678,luis14-[uncleOf]->selina10 => selina10-[nieceOf]->luis14,luis14-[uncleOf]->isabella11 => isabella11-[nieceOf]->luis14,luis14-[uncleOf]->johanna22 => johanna22-[nieceOf]->luis14,luis14-[uncleOf]->oskar24 but NO oskar24-[nieceOf]->luis14,luis14-[uncleOf]->jonas23 but NO jonas23-[nieceOf]->luis14
uncleOf -> nephewOf [Y male],inverse,"uncleOf(X,Y) -> nephewOf(Y,X)",uncleOf,nephewOf,,216,454,0.47577092511013214,luis14-[uncleOf]->oskar24 => oskar24-[nephewOf]->luis14,luis14-[uncleOf]->jonas23 => jonas23-[nephewOf]->luis14,luis14-[uncleOf]->adam9 => adam9-[nephewOf]->luis14,luis14-[uncleOf]->selina10 but NO selina10-[nephewOf]->luis14,luis14-[uncleOf]->isabella11 but NO isabella11-[nephewOf]->luis14
