r1,r2,r3,support,body,confidence,example_1,example_2,example_3
sisterOf,grandsonOf,granddaughterOf,508,508,1.0,olivia0-[sisterOf]->oskar24-[grandsonOf]->david20 => olivia0-[granddaughterOf]->david20,olivia0-[sisterOf]->oskar24-[grandsonOf]->moritz8 => olivia0-[granddaughterOf]->moritz8,olivia0-[sisterOf]->oskar24-[grandsonOf]->emma7 => olivia0-[granddaughterOf]->emma7
sisterOf,granddaughterOf,granddaughterOf,476,476,1.0,olivia0-[sisterOf]->isabella11-[granddaughterOf]->david20 => olivia0-[granddaughterOf]->david20,olivia0-[sisterOf]->isabella11-[granddaughterOf]->moritz8 => olivia0-[granddaughterOf]->moritz8,olivia0-[sisterOf]->isabella11-[granddaughterOf]->emma7 => olivia0-[granddaughterOf]->emma7
grandfatherOf,brotherOf,grandfatherOf,463,463,1.0,dominik2-[grandfatherOf]->elias6-[brotherOf]->lisa5 => dominik2-[grandfatherOf]->lisa5,dominik2-[grandfatherOf]->elias6-[brotherOf]->nico4 => dominik2-[grandfatherOf]->nico4,dominik2-[grandfatherOf]->nico4-[brotherOf]->elias6 => dominik2-[grandfatherOf]->elias6
grandmotherOf,brotherOf,grandmotherOf,463,463,1.0,katharina1-[grandmotherOf]->elias6-[brotherOf]->lisa5 => katharina1-[grandmotherOf]->lisa5,katharina1-[grandmotherOf]->elias6-[brotherOf]->nico4 => katharina1-[grandmotherOf]->nico4,katharina1-[grandmotherOf]->nico4-[brotherOf]->elias6 => katharina1-[grandmotherOf]->elias6
grandfatherOf,sisterOf,grandfatherOf,459,459,1.0,dominik2-[grandfatherOf]->lisa5-[sisterOf]->elias6 => dominik2-[grandfatherOf]->elias6,dominik2-[grandfatherOf]->lisa5-[sisterOf]->nico4 => dominik2-[grandfatherOf]->nico4,david20-[grandfatherOf]->olivia0-[sisterOf]->oskar24 => david20-[grandfatherOf]->oskar24
grandmotherOf,sisterOf,grandmotherOf,459,459,1.0,katharina1-[grandmotherOf]->lisa5-[sisterOf]->elias6 => katharina1-[grandmotherOf]->elias6,katharina1-[grandmotherOf]->lisa5-[sisterOf]->nico4 => katharina1-[grandmotherOf]->nico4,ella19-[grandmotherOf]->olivia0-[sisterOf]->oskar24 => ella19-[grandmotherOf]->oskar24
brotherOf,granddaughterOf,grandsonOf,442,442,1.0,jonas23-[brotherOf]->johanna22-[granddaughterOf]->moritz8 => jonas23-[grandsonOf]->moritz8,jonas23-[brotherOf]->johanna22-[granddaughterOf]->emma7 => jonas23-[grandsonOf]->emma7,oskar24-[brotherOf]->olivia0-[granddaughterOf]->david20 => oskar24-[grandsonOf]->david20
daughterOf,fatherOf,sisterOf,439,439,1.0,olivia0-[daughterOf]->dominik2-[fatherOf]->oskar24 => olivia0-[sisterOf]->oskar24,olivia0-[daughterOf]->dominik2-[fatherOf]->adam9 => olivia0-[sisterOf]->adam9,olivia0-[daughterOf]->dominik2-[fatherOf]->isabella11 => olivia0-[sisterOf]->isabella11
brotherOf,grandsonOf,grandsonOf,418,418,1.0,oskar24-[brotherOf]->adam9-[grandsonOf]->david20 => oskar24-[grandsonOf]->david20,oskar24-[brotherOf]->adam9-[grandsonOf]->moritz8 => oskar24-[grandsonOf]->moritz8,oskar24-[brotherOf]->adam9-[grandsonOf]->emma7 => oskar24-[grandsonOf]->emma7
sonOf,fatherOf,brotherOf,418,418,1.0,luis14-[sonOf]->moritz8-[fatherOf]->paula12 => luis14-[brotherOf]->paula12,luis14-[sonOf]->moritz8-[fatherOf]->natalie13 => luis14-[brotherOf]->natalie13,jonas23-[sonOf]->vincent21-[fatherOf]->johanna22 => jonas23-[brotherOf]->johanna22
